unique ID,coll code,Collection,Set type
9179,AA,"Ayres & Ayres, Architects records","architectural/measured
structural"
9180,AA,"Ayres & Ayres, Architects records",
9181,AA,"Ayres & Ayres, Architects records",
9182,AA,"Ayres & Ayres, Architects records",
9183,AA,"Ayres & Ayres, Architects records",
9184,AA,"Ayres & Ayres, Architects records",
9185,AA,"Ayres & Ayres, Architects records",
9186,AA,"Ayres & Ayres, Architects records",
9187,AA,"Ayres & Ayres, Architects records",
9188,AA,"Ayres & Ayres, Architects records",
9189,AA,"Ayres & Ayres, Architects records",
9190,AA,"Ayres & Ayres, Architects records",
9191,AA,"Ayres & Ayres, Architects records",
9192,AA,"Ayres & Ayres, Architects records",
9193,AA,"Ayres & Ayres, Architects records",
9194,AA,"Ayres & Ayres, Architects records",
9195,AA,"Ayres & Ayres, Architects records",
9196,AA,"Ayres & Ayres, Architects records",
9197,AA,"Ayres & Ayres, Architects records",
9198,AA,"Ayres & Ayres, Architects records",
9199,AA,"Ayres & Ayres, Architects records",
9200,AA,"Ayres & Ayres, Architects records",preliminary
9201,AA,"Ayres & Ayres, Architects records",
9202,AA,"Ayres & Ayres, Architects records",architectural/measured
9203,AA,"Ayres & Ayres, Architects records",
9204,AA,"Ayres & Ayres, Architects records",
9205,AA,"Ayres & Ayres, Architects records",
9206,AA,"Ayres & Ayres, Architects records",
9207,AA,"Ayres & Ayres, Architects records",
9208,AA,"Ayres & Ayres, Architects records",
9209,AA,"Ayres & Ayres, Architects records",
9210,AA,"Ayres & Ayres, Architects records",presentation
9211,AA,"Ayres & Ayres, Architects records",other (see notes)
9212,AA,"Ayres & Ayres, Architects records",
9213,AA,"Ayres & Ayres, Architects records",
9214,AA,"Ayres & Ayres, Architects records",
9215,AA,"Ayres & Ayres, Architects records",
9216,AA,"Ayres & Ayres, Architects records",
9217,AA,"Ayres & Ayres, Architects records",
9218,AA,"Ayres & Ayres, Architects records",
9219,AA,"Ayres & Ayres, Architects records",
9220,AA,"Ayres & Ayres, Architects records",architectural/measured
9221,AA,"Ayres & Ayres, Architects records",
9222,AA,"Ayres & Ayres, Architects records",
9223,AA,"Ayres & Ayres, Architects records",
9224,AA,"Ayres & Ayres, Architects records",
9225,AA,"Ayres & Ayres, Architects records",
9226,AA,"Ayres & Ayres, Architects records",
9227,AA,"Ayres & Ayres, Architects records",
9228,AA,"Ayres & Ayres, Architects records",
9229,AA,"Ayres & Ayres, Architects records",
9230,AA,"Ayres & Ayres, Architects records",
9231,AA,"Ayres & Ayres, Architects records",
9232,AA,"Ayres & Ayres, Architects records",
9233,AA,"Ayres & Ayres, Architects records",
9234,AA,"Ayres & Ayres, Architects records",
9235,AA,"Ayres & Ayres, Architects records",
9236,AA,"Ayres & Ayres, Architects records",
9237,AA,"Ayres & Ayres, Architects records",
9238,AA,"Ayres & Ayres, Architects records",
9239,AA,"Ayres & Ayres, Architects records",
9240,AA,"Ayres & Ayres, Architects records",
9241,AA,"Ayres & Ayres, Architects records",
9242,AA,"Ayres & Ayres, Architects records",
9243,AA,"Ayres & Ayres, Architects records",
9244,AA,"Ayres & Ayres, Architects records",
9245,AA,"Ayres & Ayres, Architects records",
9246,AA,"Ayres & Ayres, Architects records",
9247,AA,"Ayres & Ayres, Architects records",
9248,AA,"Ayres & Ayres, Architects records",
9249,AA,"Ayres & Ayres, Architects records",
9250,AA,"Ayres & Ayres, Architects records",
9251,AA,"Ayres & Ayres, Architects records",
9252,AA,"Ayres & Ayres, Architects records",
9253,AA,"Ayres & Ayres, Architects records",
9254,AA,"Ayres & Ayres, Architects records",
9255,AA,"Ayres & Ayres, Architects records",
9256,AA,"Ayres & Ayres, Architects records",
9257,AA,"Ayres & Ayres, Architects records",
9258,AA,"Ayres & Ayres, Architects records",
9259,AA,"Ayres & Ayres, Architects records","architectural/measured
structural
mechanical/plumbing/HVAC"
9260,AA,"Ayres & Ayres, Architects records",site/landscape 
9261,AA,"Ayres & Ayres, Architects records",architectural/measured
9262,AA,"Ayres & Ayres, Architects records",architectural/measured
9263,AA,"Ayres & Ayres, Architects records",site/landscape 
9264,AA,"Ayres & Ayres, Architects records",architectural/measured
9265,AA,"Ayres & Ayres, Architects records",architectural/measured
9266,AA,"Ayres & Ayres, Architects records",
9267,AA,"Ayres & Ayres, Architects records",
9268,AA,"Ayres & Ayres, Architects records",
9269,AA,"Ayres & Ayres, Architects records",
9270,AA,"Ayres & Ayres, Architects records",
9271,AA,"Ayres & Ayres, Architects records",
9272,AA,"Ayres & Ayres, Architects records",
9273,AA,"Ayres & Ayres, Architects records",
9274,AA,"Ayres & Ayres, Architects records",
9275,AA,"Ayres & Ayres, Architects records",
9276,AA,"Ayres & Ayres, Architects records",
9277,AA,"Ayres & Ayres, Architects records",
9278,AA,"Ayres & Ayres, Architects records",
9279,AA,"Ayres & Ayres, Architects records",
9280,AA,"Ayres & Ayres, Architects records",
9281,AA,"Ayres & Ayres, Architects records",
9282,AA,"Ayres & Ayres, Architects records",
9283,AA,"Ayres & Ayres, Architects records","architectural/measured
mechanical/plumbing/HVAC"
9284,AA,"Ayres & Ayres, Architects records",
