unique ID,coll code,Collection,Set type,Set type[1],Set type[2],Set type[3],Set type[4],Set type[5],Set type[6],Set type[7],Set type[8],Set type[9],Set type[10],Set type[11],Set type[12],Set type[13],Set type[14],Set type[15],Set type[16],Set type[17],Set type[18],Set type_src[1],Set type_src[2],Set type_src[3],Set type_src[4],Set type_src[5],Set type_src[6],Set type_src[7],Set type_src[8],Set type_src[9],Set type_src[10],Set type_src[11],Set type_src[12],Set type_src[13],Set type_src[14],Set type_src[15],Set type_src[16],Set type_src[17],Set type_src[18],Set type[1][flag],Set type[2][flag],Set type[3][flag],Set type[4][flag],Set type[5][flag],Set type[6][flag],Set type[7][flag],Set type[8][flag],Set type[9][flag],Set type[10][flag],Set type[11][flag],Set type[12][flag],Set type[13][flag],Set type[14][flag],Set type[15][flag],Set type[16][flag],Set type[17][flag],Set type[18][flag]
9179,AA,"Ayres & Ayres, Architects records","architectural/measured
structural",architectural drawings (visual works),measured drawings,structural drawings,,,,,,,,,,,,,,,,aat,aat,aat,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,
9180,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9181,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9182,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9183,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9184,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9185,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9186,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9187,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9188,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9189,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9190,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9191,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9192,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9193,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9194,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9195,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9196,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9197,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9198,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9199,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200,AA,"Ayres & Ayres, Architects records",preliminary,preliminary drawings (drawings),,,,,,,,,,,,,,,,,,aat,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
9201,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9202,AA,"Ayres & Ayres, Architects records",architectural/measured,architectural drawings (visual works),measured drawings,,,,,,,,,,,,,,,,,aat,aat,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
9203,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9204,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9205,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9206,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9207,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9208,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9209,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9210,AA,"Ayres & Ayres, Architects records",presentation,presentation drawings (proposals),,,,,,,,,,,,,,,,,,aat,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
9211,AA,"Ayres & Ayres, Architects records",other (see notes),other (see notes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
9212,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9213,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9214,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9215,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9216,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9217,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9218,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9219,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9220,AA,"Ayres & Ayres, Architects records",architectural/measured,architectural drawings (visual works),measured drawings,,,,,,,,,,,,,,,,,aat,aat,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
9221,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9222,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9223,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9224,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9225,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9226,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9227,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9228,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9229,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9230,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9231,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9232,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9233,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9234,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9235,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9236,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9238,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9239,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9240,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9241,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9242,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9243,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9244,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9245,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9246,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9247,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9248,AA,"Ayres & Ayres, Architects records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
