unique ID,Project name,Place name[1],Place name[2],Place name[3],project_name_flag
9179,A. F. Sayers residence.,A.F. Sayersresidence.,F. Sayersresidence,A,0
9180,A.M. Russ residence.,A.M. Russresidence.,M. Russresidence,A,0
9181,Southwest Research Institute. Building 87 Vehicle Emmisions Lab. Addition.,Southwest Research Institute.Building 87 Vehicle EmmisionsLab.,Building 87 Vehicle EmmisionsLab,Southwest Research Institute,0
9182,Alamo monument.,Alamo monument,,,0
9183,Alamo National Bank building. Proposed.,Alamo National Bank building,,,0
9184,Alamo Plaza. Assessment Plan.,Alamo Plaza,,,0
9185,Lichtenstein residence.,Lichtenstein residence,,,0
9186,Alex Hamilton residence.,Alex Hamilton residence,,,0
9187,Alex Hamilton residence. Heating plan.,Alex Hamilton residence,,,0
9188,American Building Company house no. 2.,American Building Company house no,,,0
9189,American Development Corporation residence. Northridge addition.,American Development Corporation residence,,,0
9190,American Life Insurance Building. Facade. Remodeling. Proposed.,American Life Insurance Building,,,0
9191,Amman Building. Remodeling. Proposed.,Amman Building,,,0
9192,Amye Bozarth residence.,Amye Bozarth residence,,,0
9193,Andre Dewied condominium.,Andre Dewied condominium,,,0
9194,Arlington Heights. Topographical Map. Survey No. 89 Manuel Texada.,Arlington Heights,,,0
9195,Arneson River Theater. San Antonio Riverwalk.,Arneson River Theater,,,0
9196,Arthur E. Biard Co. building (one story).,Arthur E.Biard Co.building (one story).,Biard Co.building (one story),Arthur E,0
9197,Ashly Minor James residence.,Ashly Minor James residence,,,0
9198,Atlee B. Ayres Jr. residence.,Atlee B.Ayres Jr.residence.,Ayres Jr.residence,Atlee B,0
9199,August C. Richter store. Remodeling.,August C.Richterstore.,Richterstore,August C,0
9200,Ayres and Ayres firm banners.,Ayres and Ayres firm banners,,,0
9201,Aztec Theater. Parking garage. Proposed.,Aztec Theater.Parkinggarage.,Parkinggarage,Aztec Theater,0
9202,B.R. Webb residence. Alterations.,B.R. Webbresidence.,R. Webbresidence,B,0
9203,Bache and Co.  Remodeling of Office.(Gunter Hotel Building),Bache and Co.Remodeling ofOffice.,Remodeling ofOffice,Bache and Co,0
9204,Bank of Commerce of Laredo.,Bank of Commerce of Laredo,,,0
9205,Bank of Commerce of Laredo. Additions.,Bank of Commerce of Laredo,,,0
9206,Bank of Commerce of Laredo. Addition.,Bank of Commerce of Laredo,,,0
9207,Barn.,Barn,,,0
9208,Basila medical and apartment building. Proposed.,Basila medical and apartment building,,,0
9209,Basila parking garage. Proposed.,Basila parking garage,,,0
9210,Basila Pharmacy.,Basila Pharmacy,,,0
9211,Basila Properties maps.,Basila Properties maps,,,0
9212,Bedell Building.,Bedell Building,,,0
9213,Bee County Courthouse. Remodeling.,Bee County Courthouse,,,0
9214,Beeville Country Club. Alterations.,Beeville Country Club,,,0
9215,Bel Meade Community Center. Addition.,Bel Meade Community Center,,,0
9216,Bessie Pryor residence.,Bessie Pryor residence,,,0
9217,Bexar County Agricultural and Livestock Exhibition buildings.,Bexar County Agricultural and Livestock Exhibition buildings,,,0
9218,Bexas County Teaching hospital (South Texas Medical Center).,Bexas County Teaching hospital (South Texas Medical Center),,,0
9219,Blackstock residence.,Blackstock residence,,,0
9220,Blackstock residence.,Blackstock residence,,,0
9221,Bonner residence.,Bonner residence,,,0
9222,Borchers residence.,Borchers residence,,,0
9223,Borden Co. ice cream building (Mistletoe Creamery).,Borden Co.ice creambuilding (Mistletoe Creamery).,ice creambuilding (Mistletoe Creamery),Borden Co,0
9224,Borden's Creameries plant (Mistletoe Creamery). Additions and alterations.,Borden's Creameries plant (Mistletoe Creamery),,,0
9225,Borden's Creameries plant (Mistletoe Creamery). Additions and alterations.,Borden's Creameries plant (Mistletoe Creamery),,,0
9226,Borden's Creameries plant (Mistletoe Creamery). Additions and alterations.,Borden's Creameries plant (Mistletoe Creamery),,,0
9227,Borden's Creameries plant (Mistletoe Creamery). Additions and alterations.,Borden's Creameries plant (Mistletoe Creamery),,,0
9228,Borden's Creameries plant (Mistletoe Creamery). Additions and alterations.,Borden's Creameries plant (Mistletoe Creamery),,,0
9229,Borns subdivision in the J.P. Schatzell Tract. Plat and survey.,Borns subdivision in the J,,,0
9230,Bowman residence. Additions.,Bowman residence,,,0
9231,Bowman residence. Additions.,Bowman residence,,,0
9232,Brackenridge residence.,Brackenridge residence,,,0
9233,Brownsville Post-War Memorial Building.,Brownsville Post-War Memorial Building,,,0
9234,Brownsville Savings and Loan Association building.,Brownsville Savings and Loan Association building,,,0
