unique ID,coll code,Collection,Project name,Project number,Street address,City,County,State/Province,Country,FAST Geographic,Primary archt/firm,Collaborators:,Client,Contributor notes,Notes,Number of items,AAA box #,AAA folder #,AAA roll #,Date on drawings,Date normalized,Media,Material types:,Set type,Processor,Processing completion date,Entry date:,Rev. date:,Pres. notes:,treatment completed A,treatment completed B,treatment completed C,treatment completed D,treatment completed E,Accession #,Holding institution:
9179,AA,"Ayres & Ayres, Architects records",A. F. Sayers residence.,,Hollywood Blvd,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,Matthews & Keenan | consulting engineers,"Sayers, Mr. and Mrs. A. F.",Contributor/Architect inferred by cataloger,,6,,AAf093,,1936,1936,trace paper,,"architectural/measured
structural",nls,,,Fri Feb 02 00:00:00 CST 2018,,,,,,,,
9180,AA,"Ayres & Ayres, Architects records",A.M. Russ residence.,,Alamo Heights,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,"Russ, A. M.",Contributor/Architect inferred by cataloger,,,,AAf050,,1953,1953,,,,,,,,,,,,,,,
9181,AA,"Ayres & Ayres, Architects records",Southwest Research Institute. Building 87 Vehicle Emmisions Lab. Addition.,,Culebra Rd,San Antonio,Bexar,Texas,United States,Texas--San Antonio,"Reynolds, Schlattner, Chetter and Associate Inc.",,Southwest Research Institute,,,,,AAf412,AAr130,1976,1976,,,,hr,,Mon Mar 20 00:00:00 CST 2006,,,,,,,,,
9182,AA,"Ayres & Ayres, Architects records",Alamo monument.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Alamo monument,,,,,AAf221,,undated,undated,,,,tv,,Wed Jun 02 00:00:00 CDT 2004,,,,,,,,,
9183,AA,"Ayres & Ayres, Architects records",Alamo National Bank building. Proposed.,,154 Commerce St.,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,Alamo National Bank,,,,,AAf330,AAr065,undated,undated,,,,tv,,Wed Jun 02 00:00:00 CDT 2004,,,,,,,,,
9184,AA,"Ayres & Ayres, Architects records",Alamo Plaza. Assessment Plan.,,,San Antonio,,Texas,United States,Texas--San Antonio,City Engineers Office,,,,,,,,AAr204,undated,undated,,,,hr,,Wed Mar 22 00:00:00 CST 2006,,,,,,,,,
9185,AA,"Ayres & Ayres, Architects records",Lichtenstein residence.,,,Corpus Christi,Nueces,Texas,United States,Texas--Corpus Christi,Ayres and Ayres | architects,,"Lichtenstein, Albert",Contributor/Architect inferred by cataloger,,,,AAf268,,1945,1945,,,,,,,,,,,,,,,
9186,AA,"Ayres & Ayres, Architects records",Alex Hamilton residence.,,,Cuero,DeWitt,Texas,United States,Texas--Cuero,Atlee B. Ayres | architect,,"Hamilton, Alex",,,,,AAf007,,1915,1915,"pencil on trace
ink on linen",,,bjd,,,,,,,,,,,
9187,AA,"Ayres & Ayres, Architects records",Alex Hamilton residence. Heating plan.,A1328,,Cuero,DeWitt,Texas,United States,Texas--Cuero,Lennox Furnace Company Marshalltown Iowa,,"Hamilton, Alex",,,,,AAf007,,1915,1915,blueprints on paper,,,bjd,,,,,,,,,,,
9188,AA,"Ayres & Ayres, Architects records",American Building Company house no. 2.,,,San Antonio,Bexar,Texas,United States,Texas--San Antonio,Ayres and Ayres | architects,,American Building Company,Contributor/Architect inferred by cataloger,,,,AAf269,,undated,undated,,,,tv,,Wed Jun 02 00:00:00 CDT 2004,,,,,,,,,
