Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type]
Coughlin and Ayres,Coughlin and Ayres,contributor,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Drexel and Gevers,Drexel and Gevers,contributor,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
"Ayres, Dielman and Walker | architectural firm","Ayres, Dielman and Walker",architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Roy A. Benjamin | architect,Roy A. Benjamin,architect,person,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
"Sanguinet, Staats and Boelhaune | architectural firm","Sanguinet, Staats and Boelhaune",architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Robert Leon White | architect,Robert Leon White,architect,person,,,,,,,,,
J. Flood Walker | archtitect,J. Flood Walker,archtitect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Birdsall Briscoe | architect,Birdsall Briscoe,architect,person,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Herbert M. Greene | architect,Herbert M. Greene,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Alfred C. Finn | architect,Alfred C. Finn,architect,person,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Adams and Adams | architectural firm,Adams and Adams,architectural firm,coorporate,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Ralph H. Cameron | architect,Ralph H. Cameron,architect,person,,,,,,,,,
Nicholas J. Clayton,Nicholas J. Clayton,contributor,person,,,,,,,,,
"Dielmann, Leo M.J.  (1847-1961)","Dielmann, Leo M.J.",contributor,person,,,,,,,,,
"Geddes, Norman Bel","Geddes, Norman Bel",contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Henry Trost,Henry Trost,contributor,person,,,,,,,,,
"Barnes, Landes, Goodman","Barnes, Landes, Goodman",contributor,coorporate,,,,,,,,,
"Bell, Klein and Hoffman","Bell, Klein and Hoffman",contributor,coorporate,,,,,,,,,
Brooks and Barr,Brooks and Barr,contributor,coorporate,,,,,,,,,
"Brooks, Barr, Graeber, and White","Brooks, Barr, Graeber, and White",contributor,coorporate,,,,,,,,,
"Fehr, Arthur","Fehr, Arthur",contributor,person,,,,,,,,,
Graeber Simmons and Cowan | architects,Graeber Simmons and Cowan,architects,coorporate,,,,,,,,,
"Granger, Charles T.","Granger, Charles T.",contributor,person,,,,,,,,,
August Watkins Harris,August Watkins Harris,contributor,person,,,,,,,,,
David Hoffman and Company,David Hoffman and Company,contributor,coorporate,,,,,,,,,
"Jackson, Robert","Jackson, Robert",contributor,person,,,,,,,,,
Jessen and Jessen,Jessen and Jessen,contributor,coorporate,,,,,,,,,
J. H. Eccleston Johnston Jr.,J. H. Eccleston Johnston Jr.,contributor,person,,,,,,,,,
"Ketchum, W. E.","Ketchum, W. E.",contributor,person,,,,,,,,,
"Kreisle, Ed","Kreisle, Ed",contributor,person,,,,,,,,,
"Kuehne, Brooks and Barr","Kuehne, Brooks and Barr",contributor,coorporate,,,,,,,,,
"Kuehne, Hugo F.","Kuehne, Hugo F.",contributor,person,,,,,,,,,
Lundgren and Maurer | architect,Lundgren and Maurer,architect,coorporate,,,,,,,,,
Elijah E. Myers,Elijah E. Myers,contributor,person,,,,,,,,,
Chartier Newton,Chartier Newton,contributor,person,,,,,,,,,
Niggli and Gustafson,Niggli and Gustafson,contributor,coorporate,,,,,,,,,
Page Brothers | architectural firm,Page Brothers,architectural firm,person,,,,,,,,,
C. H. Page,C. H. Page,contributor,person,,,,,,,,,
Page Southerland Page | architectural firm,Page Southerland Page,architectural firm,coorporate,,,,,,,,,
John Linn Scott,John Linn Scott,contributor,person,,,,,,,,,
Roger Q. Small,Roger Q. Small,contributor,person,,,,,,,,,
Arthur O. Watson,Arthur O. Watson,contributor,person,,,,,,,,,
J. Roy White,J. Roy White,contributor,person,,,,,,,,,
Ruffini,Ruffini,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Cima Malek - Aslani,Cima Malek - Aslani,contributor,person,,,,,,,,,
Trost and Trost,Trost and Trost,contributor,coorporate,,,,,,,,,
Percy McGhee,Percy McGhee,contributor,person,,,,,,,,,
"Dunne, W. Scott","Dunne, W. Scott",contributor,person,,,,,,,,,
Guy A. Carlander,Guy A. Carlander,contributor,coorporate,,,,,,,,,
E. F. Rittenberry,E. F. Rittenberry,contributor,person,,,,,,,,,
"Gideon, Samuel E.","Gideon, Samuel E.",contributor,person,,,,,,,,,
William Ward Watkin | architect,William Ward Watkin,architect,person,,,,,,,,,
Hare and Hare | landscape architects,Hare and Hare,landscape architects,coorporate,,,,,,,,,
"Kessler, George","Kessler, George",contributor,person,,,,,,,,,
MacKie and Kamrath,MacKie and Kamrath,contributor,coorporate,,,,,,,,,
Marshall and Fox,Marshall and Fox,contributor,coorporate,,,,,,,,,
Moore Grover Harper,Moore Grover Harper,contributor,person,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles Moore,Charles Moore,contributor,person,,,,,,,,,
"Cooper, Eckstut Associates","Cooper, Eckstut Associates",contributor,coorporate,,,,,,,,,
Vollmer Associates,Vollmer Associates,contributor,coorporate,,,,,,,,,
Moore Ruble Yudell,Moore Ruble Yudell,contributor,person,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
"Sasaki Associates, Inc.","Sasaki Associates, Inc.",contributor,coorporate,,,,,,,,,
Allen and Collens and Felix A. Burrton,Allen and Collens and Felix A. Burrton,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Urban Innovations Group,Urban Innovations Group,contributor,coorporate,,,,,,,,,
James Stewart Polshek and Partners,James Stewart Polshek and Partners,contributor,coorporate,,,,,,,,,
Centerbrook,Centerbrook,contributor,person,,,,,,,,,
Moore/Andersson Architects,Moore/Andersson Architects,contributor,coorporate,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Brian Mackay-Lyons Architecture & Urban Design,Brian Mackay-Lyons Architecture & Urban Design,contributor,coorporate,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Fraser Thomson & Associates,Fraser Thomson & Associates,contributor,coorporate,,,,,,,,,
Charles W. Moore; Urban Innovations Group,Charles W. Moore,contributor,person,Urban Innovations Group,contributor,coorporate,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Charles W. Moore,Charles W. Moore,contributor,person,,,,,,,,,
Charles W. Moore | architect,Charles W. Moore,architect,person,,,,,,,,,
Greene and Greene,Greene and Greene,contributor,coorporate,,,,,,,,,
Osler Milling Architects Inc.,Osler Milling Architects Inc.,contributor,coorporate,,,,,,,,,
