Unique Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type],Primary archt/firm[5][Name],Primary archt/firm[5][Role],Primary archt/firm[5][Type]
"Sanguinet, Staats and Boelhaune | architectural firm","Sanguinet, Staats and Boelhaune ",architectural firm,coorporate,,,,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,,,,
"Dielmann, Leo M.J.  (1847-1961)", Leo M.J. Dielmann,contributor,person,,,,,,,,,,,,
"Brooks, Barr, Graeber, and White","Brooks, Barr, Graeber, and White",contributor,coorporate,,,,,,,,,,,,
David Hoffman and Company,David Hoffman and Company,contributor,coorporate,,,,,,,,,,,,
Cima Malek - Aslani,Cima Malek - Aslani,contributor,person,,,,,,,,,,,,
Hare and Hare | landscape architects,Hare and Hare,landscape architects,coorporate,,,,,,,,,,,,
"Sasaki Associates, Inc.","Sasaki Associates, Inc.",contributor,coorporate,,,,,,,,,,,,
Allen and Collens and Felix A. Burrton,<flag>,<flag>,<flag>,,,,,,,,,,,,
Brian Mackay-Lyons Architecture & Urban Design,Brian Mackay-Lyons Architecture & Urban Design,contributor,coorporate,,,,,,,,,,,,
Charles W. Moore; John M. Woolbridge | achitects & planners,Charles W. Moore,achitects & planners,person, John M. Woolbridge,achitects & planners,person,,,,,,,,,
Moore and Anderson (see notes),Moore and Anderson,contributor,coorporate,,,,,,,,,,,,
MLTW/Moore Turnbull,MLTW/Moore Turnbull,contributor,coorporate,,,,,,,,,,,,
"Skidmore Owings Merrill; Venturi Rauch & Scott Brown, Gehry; Studio di Architettura",Skidmore Owings Merrill,contributor,coorporate,Venturi Rauch & Scott Brown,contributor,coorporate,Gehry,contributor,coorporate,Studio di Architettura,contributor,coorporate,,,
"Rothzeid Kaiserman & Thomson, P.C.","Rothzeid Kaiserman & Thomson, P.C.",contributor,coorporate,,,,,,,,,,,,
Minzenmayer / McGee AIA Architects,Minzenmayer / McGee AIA Architects,contributor,coorporate,,,,,,,,,,,,
Herbert M. Greene LaRoche and Dahl | university architects,Herbert M. Greene LaRoche and Dahl,contributor,coorporate,,,,,,,,,,,,
Paul Philippe Cret | consulting architect,Paul Philippe Cret,consulting architect,person,,,,,,,,,,,,
Preston M. Geren | architect and engineer,Preston M. Geren,architect and engineer,person,,,,,,,,,,,,
"Herbert M. Greene, LaRoche, and Dahl | architects","Herbert M. Greene, LaRoche, and Dahl",architects,coorporate,,,,,,,,,,,,
C. C. Merrick | surveyor and draftsman,<flag>,<flag>,<flag>,,,,,,,,,,,,
William Payson | general agent,William Payson,general agent,person,,,,,,,,,,,,
Clarke and Northcott | builders,Clarke and Northcott,builders,coorporate,,,,,,,,,,,,
Office of the Supervising Architect; Robert Leon White | supervising architect,Office of the Supervising Architect,contributor,coorporate,Robert Leon White,supervising architect,person,,,,,,,,,
George A. Endress | associated architect; Frederick M. Mann | associated architect,George A. Endress,associated architect,person,Frederick M. Mann,associated architect,person,,,,,,,,,
"I. R. Timlin, Southwestern Bell Telephone Company | architect; Lang and Withcell | architectural firm",I. R. Timlin,architect,person,Southwestern Bell Telephone Company,contributor,coorporate,Lang and Withcell,,architectural firm,coorporate,,,,,
Eugene Wukasch | architect; Leon Howard | golf course architect,Eugene Wukasch,architect,person,Leon Howard,golf course architect,person,,,,,,,,,
Department of Construction and Maintenance; Architectural and Engineering Services; Office of the Supervising Architect; Zumwalt & Vinther | consulting engineers; Office of R. L. White | supervising architect,Department of Construction and Maintenance,contributor,coorporate,Architectural and Engineering Services,contributor,coorporate,Office of the Supervising Architect,contributor,coorporate,Zumwalt & Vinther ,consulting engineers,coorporate,Office of R. L. White,supervising architect,coorporate
Frank W. Chappell | engineer,Frank W. Chappell ,engineer,person,,,,,,,,,,,,
"Ford, Powell, Carson, Architects and Planners Inc. | architectural firm; Overland Partners, Inc. | architectural firm_x000B_","Ford, Powell, Carson, Architects and Planners Inc.",architectural firm,coorporate,"Overland Partners, Inc. ",architectural firm,coorporate,,,,,,,,,
