unique ID,Collaborators:,Collaborators[1][Name],Collaborators[1][Type],Collaborators[1][Role],Collaborators[1]_flag,Collaborators[2][Name],Collaborators[2][Type],Collaborators[2][Role],Collaborators[2]_flag
10048,,,,,,,,,
10049,,,,,,,,,
10050,,,,,,,,,
10051,,,,,,,,,
10052,,,,,,,,,
10053,,,,,,,,,
10054,,,,,,,,,
10055,,,,,,,,,
10056,,,,,,,,,
10057,,,,,,,,,
10058,,,,,,,,,
10059,,,,,,,,,
10060,,,,,,,,,
10061,,,,,,,,,
10062,,,,,,,,,
10063,,,,,,,,,
10064,,,,,,,,,
10065,,,,,,,,,
10066,,,,,,,,,
10067,,,,,,,,,
13671,,,,,,,,,
13672,,,,,,,,,
13673,,,,,,,,,
13674,J. Fred Buenz,J. Fred Buenz,person,Contributor,1.0,,,,
13675,,,,,,,,,
13676,,,,,,,,,
13677,,,,,,,,,
13678,,,,,,,,,
13679,,,,,,,,,
13680,,,,,,,,,
13681,,,,,,,,,
13682,,,,,,,,,
13683,,,,,,,,,
13684,,,,,,,,,
13685,,,,,,,,,
13686,,,,,,,,,
13687,,,,,,,,,
13688,,,,,,,,,
13689,,,,,,,,,
13690,J. E. Anderson; R.L. Knapp.,J. E. Anderson,company,Contributor,0.0,R.L. Knapp,person,Contributor,1.0
13691,,,,,,,,,
13692,,,,,,,,,
13693,,,,,,,,,
13694,,,,,,,,,
13695,,,,,,,,,
13696,,,,,,,,,
13697,,,,,,,,,
13698,,,,,,,,,
13699,,,,,,,,,
13700,,,,,,,,,
13701,,,,,,,,,
13702,,,,,,,,,
13703,,,,,,,,,
13704,,,,,,,,,
13705,,,,,,,,,
13706,,,,,,,,,
13707,,,,,,,,,
13708,,,,,,,,,
13709,,,,,,,,,
13710,,,,,,,,,
13711,,,,,,,,,
13712,Mark Lemmon,Mark Lemmon,person,Contributor,1.0,,,,
13713,,,,,,,,,
13714,,,,,,,,,
13715,,,,,,,,,
13716,,,,,,,,,
13717,,,,,,,,,
13718,"Herb Skogland, ASLA","Herb Skogland, ASLA",company,Contributor,0.0,,,,
13719,,,,,,,,,
13720,,,,,,,,,
13721,,,,,,,,,
13722,,,,,,,,,
13723,,,,,,,,,
13724,,,,,,,,,
13725,,,,,,,,,
13726,,,,,,,,,
13727,,,,,,,,,
13728,,,,,,,,,
13729,,,,,,,,,
13730,,,,,,,,,
13731,Fehr and Granger,Fehr and Granger,company,Contributor,1.0,,,,
13732,,,,,,,,,
13733,,,,,,,,,
13734,Ralph L. Stirman,Ralph L. Stirman,person,Contributor,1.0,,,,
13735,,,,,,,,,
13736,,,,,,,,,
13737,,,,,,,,,
13738,,,,,,,,,
13739,,,,,,,,,
13740,,,,,,,,,
13741,,,,,,,,,
13742,,,,,,,,,
13743,,,,,,,,,
13744,Mark Lemmon,Mark Lemmon,person,Contributor,1.0,,,,
13745,,,,,,,,,
13746,,,,,,,,,
13747,,,,,,,,,
13748,,,,,,,,,
13749,Blum & Guerrero; William C. Craig.,Blum & Guerrero,company,Contributor,1.0,William C. Craig,person,Contributor,1.0
13750,,,,,,,,,
13751,,,,,,,,,
13752,,,,,,,,,
13753,,,,,,,,,
13754,,,,,,,,,
13755,,,,,,,,,
13756,,,,,,,,,
13757,Fehr and Granger,Fehr and Granger,company,Contributor,1.0,,,,
13758,,,,,,,,,
13759,,,,,,,,,
13760,,,,,,,,,
13761,,,,,,,,,
13762,Mark Lemmon,Mark Lemmon,person,Contributor,1.0,,,,
13763,,,,,,,,,
13764,,,,,,,,,
13765,,,,,,,,,
13766,,,,,,,,,
13767,,,,,,,,,
13768,,,,,,,,,
13769,,,,,,,,,
13770,,,,,,,,,
13771,,,,,,,,,
13772,,,,,,,,,
13773,,,,,,,,,
13774,,,,,,,,,
13775,,,,,,,,,
13776,,,,,,,,,
13777,,,,,,,,,
13778,,,,,,,,,
13779,,,,,,,,,
13780,,,,,,,,,
13781,,,,,,,,,
13782,,,,,,,,,
13783,,,,,,,,,
13784,,,,,,,,,
13785,,,,,,,,,
13786,,,,,,,,,
13787,,,,,,,,,
13788,,,,,,,,,
13789,,,,,,,,,
13790,,,,,,,,,
13791,,,,,,,,,
13792,"Brooks, Barr, Graeber and White","Brooks, Barr, Graeber and White",company,Contributor,1.0,,,,
13793,,,,,,,,,
13794,,,,,,,,,
13795,,,,,,,,,
13796,,,,,,,,,
13797,,,,,,,,,
13798,,,,,,,,,
13799,,,,,,,,,
13800,,,,,,,,,
13801,,,,,,,,,
13802,,,,,,,,,
13803,,,,,,,,,
13804,,,,,,,,,
13805,,,,,,,,,
13806,,,,,,,,,
13807,,,,,,,,,
13808,,,,,,,,,
13809,,,,,,,,,
13810,,,,,,,,,
13811,,,,,,,,,
13812,"Vogt, Ivers and Associates","Vogt, Ivers and Associates",company,Contributor,0.0,,,,
13813,DeHaven Pitts; Charles T. Weidner,DeHaven Pitts,person,Contributor,1.0,Charles T. Weidner,person,Contributor,1.0
13814,,,,,,,,,
13815,,,,,,,,,
13816,,,,,,,,,
13817,,,,,,,,,
13818,,,,,,,,,
13819,,,,,,,,,
13820,,,,,,,,,
13821,,,,,,,,,
13822,,,,,,,,,
13823,Robert Leon White,Robert Leon White,person,Contributor,1.0,,,,
13824,,,,,,,,,
13825,,,,,,,,,
13826,,,,,,,,,
13827,,,,,,,,,
13828,,,,,,,,,
13829,,,,,,,,,
13830,,,,,,,,,
13831,,,,,,,,,
13832,,,,,,,,,
13833,,,,,,,,,
13834,,,,,,,,,
13835,,,,,,,,,
13836,"B. Segall, Jr. | consulting engineer; W. Clark Craig | consulting engineers","B. Segall, Jr",person,consulting engineer,1.0,W. Clark Craig,person,consulting engineers,1.0
13837,Jacob E. Anderson,Jacob E. Anderson,company,Contributor,0.0,,,,
13838,,,,,,,,,
13839,Isom H. Hale and Associates | engineers,Isom H. Hale and Associates,company,engineers,0.0,,,,
13840,,,,,,,,,
13841,,,,,,,,,
13842,Frank W. Gerling,Frank W. Gerling,person,Contributor,1.0,,,,
13843,,,,,,,,,
13844,Frank W. Gerling | consulting engineer,Frank W. Gerling,person,consulting engineer,1.0,,,,
13845,W. Clark Craig | consulting engineers; Frank W. Gerling | consulting engineer,W. Clark Craig,person,consulting engineers,1.0,Frank W. Gerling,person,consulting engineer,1.0
13846,,,,,,,,,
13847,W. Clark Craig,W. Clark Craig,person,Contributor,1.0,,,,
13848,"Gerling-Thomas-Ward, Inc. | consulting engineers","Gerling-Thomas-Ward, Inc",company,consulting engineers,0.0,,,,
13849,"Gerling-Thomas-Ward, Inc. | consulting engineers","Gerling-Thomas-Ward, Inc",company,consulting engineers,0.0,,,,
13850,Herbert Crume,Herbert Crume,person,Contributor,1.0,,,,
13851,,,,,,,,,
13852,,,,,,,,,
13853,,,,,,,,,
13854,,,,,,,,,
13855,,,,,,,,,
13856,,,,,,,,,
13857,,,,,,,,,
13858,,,,,,,,,
13859,,,,,,,,,
13860,,,,,,,,,
13861,,,,,,,,,
13862,,,,,,,,,
13863,"Gerling-Thomas, Inc.","Gerling-Thomas, Inc",company,Contributor,0.0,,,,
13864,,,,,,,,,
13865,Morris Parker Associates,Morris Parker Associates,company,Contributor,0.0,,,,
13866,,,,,,,,,
13867,,,,,,,,,
13868,,,,,,,,,
13869,,,,,,,,,
13870,,,,,,,,,
13871,,,,,,,,,
13872,,,,,,,,,
13873,,,,,,,,,
13874,,,,,,,,,
13875,,,,,,,,,
13876,,,,,,,,,
13877,,,,,,,,,
13878,,,,,,,,,
13879,,,,,,,,,
