unique ID,coll code,Collection,Project name,Project number,Street address,City,County,State/Province,Country,FAST Geographic,Primary archt/firm,Collaborators:,Client,Contributor notes,Notes,Number of items,AAA box #,AAA folder #,AAA roll #,Date on drawings,Date normalized,Media,Material types:,Set type,Processor,Processing completion date,Entry date:,Rev. date:,Pres. notes:,treatment completed A,treatment completed B,treatment completed C,treatment completed D,treatment completed E,Accession #,Holding institution:,Media[1],Media[2],Media[3],Media[4],Media[5],Media[6],Media_src[1],Media_src[2],Media_src[3],Media_src[4],Media_src[5],Media_src[6],Media[1][flag],Media[2][flag],Media[3][flag],Media[4][flag],Media[5][flag],Media[6][flag]
10048,FG,Fehr and Granger collection,First National Bank.  Addition and remodeling.,839,,Bastrop,Bastrop,Texas,United States,Texas--Bastrop,Fehr and Granger,,,,Original tube number FG490.,7.0,,FGf001 dr.19B,,1964,1964,trace paper,drawings,"architectural/measured
structural
mechanical/plumbing/HVAC
includes interiors",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10049,FG,Fehr and Granger collection,Johnson Institute. Restoration.,225,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,"Webb, Walter Prescott",,"Original tube number: FG225. Handwritten notes: Bear Creek at Friday Mountain, near Austin.",13.0,,FGf002 dr.19B,,1955,1955,trace paper,drawings,"architectural/measured
design/studies and sketches",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10050,FG,Fehr and Granger collection,Emanuel Evangelical Lutheran Church. Parsonage.,269,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,"Braulizk, Edward J. (Rev.)",,Original tube number: FG269.,9.0,,FGf003 dr.19B, ,1948,1948,trace paper,drawings,"architectural/measured
industrial design/furniture",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10051,FG,Fehr and Granger collection,Porter residence.,418,,Dallas,Dallas,Texas,United States,Texas--Dallas,Fehr and Granger,,"Porter, Buddy",,Original tube number: FG418.,6.0,,FGf004 dr.19B, ,1950,1950,trace paper,drawings,"architectural/measured
structural",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10052,FG,Fehr and Granger collection,Weinert play house.,329,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,"Weinert, H.H.",,"Date: June 2, 1948. Original tube number: FG329.",1.0,,FGf005 dr.19B, ,1948,1948,trace paper,drawings,architectural/measured,ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10053,FG,Fehr and Granger collection,Grace residence.,468,Martin Blvd.,Wichita Falls,Wichita,Texas,United States,Texas--Wichita Falls,Fehr and Granger,,"Grace, W. B.",,Original tube number: FG468.,6.0,,FGf006 dr.19B, ,1952,1952,trace paper,drawings,"architectural/measured
structural
electrical
industrial design/furniture",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10054,FG,Fehr and Granger collection,Emanuel Evangelical Lutheran Church. Addition.,398,,Seguin,Guadalupe,Texas,United States,Texas--Seguin,Fehr and Granger,,"Braulizk, Edward J. (Rev.)",,"Date: Oct. 10, 1950. Original tube number: FG398.",3.0,,FGf007 dr.19B,,1950,1950,trace paper,drawings,architectural/measured,ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10055,FG,Fehr and Granger collection,Housing #1 (Temple Housing Corporation).,471,,Temple,Bell,Texas,United States,Texas--Temple,Fehr and Granger,,"Cloud, T.J.",,"Date: Sept. 16, 1952. Original tube number: FG471.",12.0,,FGf008 dr.19B, ,1952,1952,trace paper,drawings,"architectural/measured
structural
electrical
industrial design/furniture",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10056,FG,Fehr and Granger collection,Wharton County Junior College.,543,,Wharton,Wharton,Texas,United States,Texas--Wharton,Fehr and Granger,,Hutchins Memorial Student Union,,Original tube number: FG543(2).,18.0,,FGf009 dr.19B, ,1955,1955,trace paper,drawings,"architectural/measured
structural
electrical
industrial design/furniture
mechanical/plumbing/HVAC",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10057,FG,Fehr and Granger collection,Bastrop Methodist Church. Remodeling.,514,,Bastrop,Bastrop,Texas,United States,Texas--Bastrop,Fehr and Granger,,,,Original tube number: FG514.,6.0,,FGf010 dr.19B, ,1953,1953,trace paper,drawings,"architectural/measured
includes interiors",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,Tue Dec 10 00:00:00 CST 2019,"E fasteners/rehouse
D humid./flatten",,,,y,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
10058,FG,Fehr and Granger collection,Wharton County Junior College. Cafeteria. Remodeling.,598,,Wharton,Wharton,Texas,United States,Texas--Wharton,Fehr and Granger,,,,Original tube number: FG598.,1.0,,,FGr011,undated,undated,trace paper,drawings,"architectural/measured
preliminary",ew/djc,,Fri Jun 29 00:00:00 CDT 2007,,E fasteners/rehouse,,,,,y,2006036.0,,tracing paper,,,,,,aat,,,,,,0,,,,,
