unique ID,Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type],Primary archt/firm[5][Name],Primary archt/firm[5][Role],Primary archt/firm[5][Type],Primary archt/firm_flag
9179,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9180,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9181,"Reynolds, Schlattner, Chetter and Associate Inc.","Reynolds, Schlattner, Chetter and Associate Inc.",contributor,corporate,,,,,,,,,,,,,0
9182,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9183,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9184,City Engineers Office,City Engineers Office,contributor,person,,,,,,,,,,,,,0
9185,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9186,Atlee B. Ayres | architect,Atlee B. Ayres,architect,person,,,,,,,,,,,,,0
9187,Lennox Furnace Company Marshalltown Iowa,Lennox Furnace Company Marshalltown Iowa,contributor,corporate,,,,,,,,,,,,,0
9188,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9189,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9190,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9191,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9192,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9193,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9194,Louis Polk,Louis Polk,contributor,person,,,,,,,,,,,,,0
9195,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9196,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9197,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9198,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9199,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9200,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9201,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9202,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9203,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9204,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9205,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9206,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9207,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9208,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9209,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9210,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9211,Atlee B. Ayres and Robert M. Ayres | architects,Atlee B. Ayres and Robert M. Ayres,architects,corporate,,,,,,,,,,,,,0
9212,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9213,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9214,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9215,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9216,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9217,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9218,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
9219,Ayres and Ayres | architects,Ayres and Ayres,architects,corporate,,,,,,,,,,,,,0
