unique ID,Project name,Place name[1],Place name[2],Place name[3],project_name_flag
10048,First National Bank.  Addition and remodeling.,First National Bank,,,0
10049,Johnson Institute. Restoration.,Johnson Institute,,,0
10050,Emanuel Evangelical Lutheran Church. Parsonage.,Emanuel Evangelical Lutheran Church,,,0
10051,Porter residence.,Porter residence,,,0
10052,Weinert play house.,Weinert play house,,,0
10053,Grace residence.,Grace residence,,,0
10054,Emanuel Evangelical Lutheran Church. Addition.,Emanuel Evangelical Lutheran Church,,,0
10055,Housing #1 (Temple Housing Corporation).,Housing #1 (Temple Housing Corporation),,,0
10056,Wharton County Junior College.,Wharton County Junior College,,,0
10057,Bastrop Methodist Church. Remodeling.,Bastrop Methodist Church,,,0
10058,Wharton County Junior College. Cafeteria. Remodeling.,Wharton County Junior College.Cafeteria.,Cafeteria,Wharton County Junior College,0
10059,Taylor Middle School. Remodeling.,Taylor Middle School,,,0
10060,St. Mary’s Episcopal Church. Parish house.,St. Mary’s Episcopal Church. Parish house.,,,0
10061,Hines residence (Cory Subdivision).,Hines residence (Cory Subdivision),,,0
10062,Melasky residence. Bath remodeling.,Melasky residence,,,0
10063,Melasky residence. Addition.,Melasky residence,,,0
10064,Watkins residence. Addition.,Watkins residence,,,0
10065,Texas Lutheran College. Entrance sign.,Texas Lutheran College.Entrance sign.,Entrance sign,Texas Lutheran College,0
10066,Taylor residence.,Taylor residence,,,0
10067,Schroeder residence.,Schroeder residence,,,0
13671,Gee residence. Proposed.,Gee residence,,,0
13672,Westmoreland residence. Additions.,Westmoreland residence,,,0
13673,Lichtenstein’s. Betty Lee Shoes store. Remodeling.,Lichtenstein’s.Betty Lee Shoesstore.,Betty Lee Shoesstore,Lichtenstein’s,0
13674,Woodlawn Lutheran Church. Chapel.,Woodlawn Lutheran Church.Chapel.,Chapel,Woodlawn Lutheran Church,0
13675,Pfluger lake cabin.,Pfluger lake cabin,,,0
13676,Seguin Independent School District. Ball High School. Addition.,Seguin Independent School District.Ball HighSchool.,Ball HighSchool,Seguin Independent School District,0
13677,"Packing plant (Luling, Tex.).","Packing plant (Luling, Tex",,,0
13678,Seguin Independent School District. Mary B. Erskine School. Addition.,Seguin Independent School District.Mary B. ErskineSchool.,Mary B. ErskineSchool,Seguin Independent School District,0
13679,"Lichtenstein’s. Betty Lee Shop (Midland, Tex.). Remodeling.","Lichtenstein’s.Betty LeeShop (Midland, Tex.","Betty LeeShop (Midland, Tex",Lichtenstein’s,0
13680,Easton residence.,Easton residence,,,0
13681,Allensworth apartment building.,Allensworth apartment building,,,0
13682,Seguin Independent School District. Juan Seguin School. Kitchen. Conversion.,Seguin Independent School District.Juan SeguinSchool.,Juan SeguinSchool,Seguin Independent School District,0
13683,Elks Quarters. Remodeling.,Elks Quarters,,,0
13684,Luling Independent School District. Rosenwald School.,Luling Independent School District.RosenwaldSchool.,RosenwaldSchool,Luling Independent School District,0
13685,Texas Lutheran College. Old Main Building. Cafeteria area. Remodeling.,Texas Lutheran College.Old Main Building.Cafeteria area.,Old Main Building.Cafeteria area,Texas Lutheran College,0
13686,Texas Lutheran College. Main Building. Remodeling.,Texas Lutheran College.MainBuilding.,MainBuilding,Texas Lutheran College,0
13687,McMillin residence.,McMillin residence,,,0
13688,South Texas Printing Co. building.,South Texas Printing Co.building.,building,South Texas Printing Co,0
13689,"First Baptist Church (Seguin, Tex.). Alterations and additions.","First Baptist Church (Seguin, Tex",,,0
13690,Southwestern Bell Telephone Company. Dial office building.,Southwestern Bell Telephone Company.Dial officebuilding.,Dial officebuilding,Southwestern Bell Telephone Company,0
13691,Melasky store. Remodeling fire damage.,Melasky store,,,0
13692,Garrison residence (unbuilt).,Garrison residence (unbuilt),,,0
13693,San Marcos Public Library.,San Marcos Public Library,,,0
13694,Brown Schools. Hillview Unit.,Brown Schools,,,0
13695,Texas Lutheran College. Administration Building. Office spaces. Remodeling.,Texas Lutheran College.Administration Building.Office spaces.,Administration Building.Office spaces,Texas Lutheran College,0
